id,city,name,latitude,longitude,pickup_phone,pickup_time
2792,Переяслав,"вул. Б. Хмельницького, 32",50.07099,31.458334,380672959302,ПН - НД 8:00 - 21:00
2822,Стрий,"вул. Б. Хмельницького, 4",49.25701,23.85437,380675269493,ПН - НД 8:00 - 21:00
713,Богородчани,"вул. Б. Хмельницького, 5",48.810448,24.539242,380671417743,ПН - НД 8:00 - 20:00
2611,Калуш,"вул. Б. Хмельницького, 54",49.043275,24.350762,380674987885,ПН - НД 9:00 - 20:00
3094,Київ,"просп. Бажана Миколи 17 (прим. 17, цоколь)",50.40356653,30.67666406,0972013842,ПН - НД 8:00 - 21:00
2848,Київ,"просп. Бажана Миколи, 1",50.398974,30.632767,380672252058,ПН - НД 8:00 - 21:00
2840,Київ,"просп. Бажана Миколи, 38",50.400402,30.651416,380671383908,ПН - НД 8:00 - 21:00
2093,Заставна,"вул. Бажановського, 8-Є",48.52168,25.84536,380676923319,ПН - НД 8:00 - 20:00
579,Коростень,"вул. Базарна площа, 1",50.95156,28.637174,380677545261,ПН - НД 8:00 - 20:00
165,Новгород-Сіверський,"вул. Базарна, 17",52.009166,33.264012,380972030174,ПН - НД 8:00 - 20:00
836,Брацлав,"вул. Базарна, 18",48.824039,28.942288,380671768876,ПН - НД 8:00 - 20:00
683,Перемишляни,"вул. Базарна, 3",49.66994,24.5584,380671413860,ПН - НД 8:00 - 20:00
2680,Київ,"пров. Балтійський, 23-А",50.496508,30.46562,380970002648,ПН - НД 8:00 - 21:00
2874,Київ,"вул. Бальзака Оноре де, 6",50.500423,30.579437,380671091704,ПН - НД 8:00 - 21:00
2241,Київ,"вул. Бальзака Оноре де, 66",50.5195884,30.6082664,380671745661,ПН - НД 8:00 - 21:00
2494,Київ,"вул. Бальзака Оноре де, 85",50.531049,30.608071,380674964278,ПН - НД 9:00 - 21:00
2640,Слов'янськ,"вул. Банківська, 88",48.85328325816695,37.599183354946156,380970001956,ПН - НД 7:00 - 20:00
3100,Високопілля,"вул. Банкова, 30",47.4918,33.53157,380972020597,ПН - НД 8:00 - 20:00
2671,Зарічани,"вул. Бердичівське шосе , 4",50.228338,28.670939,380970002746,ПН - НД 8:00 - 21:00
402,Баришівка,"вул. Березанська, 12",50.366625,31.332027,380675032917,ПН - НД 8:00 - 21:00
860,Дніпро,"вул. Березинська, 23-К",48.52477,35.033907,380671762636,ПН - НД 8:00 - 20:00
2293,Київ,"вул. Березняківська, 16",50.429472,30.615621,380671315748,ПН - НД 9:00 - 21:00
2150,Київ,"просп. Берестейський, 136",50.45666,30.365065,380672105470,ПН - НД 8:00 - 21:00
2314,Київ,"просп. Берестейський, 142-А",50.455425,30.351916,380672794439,ПН - НД 8:00 - 21:00
2252,Київ,"просп. Берестейський, 18",50.449694,30.477766,380981837802,ПН - НД 8:00 - 21:00
2665,Київ,"просп. Берестейський, 31",50.45041,30.46836,380970903084,ПН - НД 8:00 - 21:00
2118,Київ,"просп. Берестейський, 87",50.45677,30.383337,380671323483,ПН - НД 8:00 - 21:00
3028,Козин,"вул. Берестецька, 126",50.27109,25.45488,380980003908,ПН - НД 9:00 - 20:00
3032,Київ,"вул. Берковецька, 6",50.496356,30.360774,380970004017,ПН - НД 9:00 - 21:00
963,Кельменці,"вул. Бесарабська, 24-А",48.46768,26.82769,380671915941,ПН - НД 8:00 - 21:00
2659,Кременчук,"вул. Білаша Олександра , 2-Г",49.02600027,33.45626289,380970002368,ПН - НД 8:00 - 21:00
2726,Київ,"вул. Білоруська, 2-Б",50.46225552,30.48144719,380970001958,ПН - НД 8:00 - 21:00
717,Черкаси,", 105/ вул. Благовісна, 269",49.43713,32.06452,380671418158,ПН - НД 8:00 - 20:00
772,Лозова,"вул. Благовіщенська, 19",48.889106,36.313667,380671506281,ПН - НД 7:00 - 21:00
3,Тростянець,"вул. Благовіщенська, 22",50.47018,34.96003,380675762254,ПН - НД 7:00 - 21:00
2458,Маяки,"вул. Богачева, 90",46.413824,30.265571,380979572302,ПН - НД 9:00 - 21:00
